NEWID,COST,UCC,year,month,day
907721,336.64,9000,2008,6,21
907721,7.48,20820,2008,6,20
907721,6.4,190111,2008,6,18
907721,5.3,190111,2008,6,19
907721,7.9,190112,2008,6,20
907721,13.99,190212,2008,6,18
907721,22.61,190212,2008,6,22
907721,6.94,200111,2008,6,18
907721,36.02,270210,2008,6,18
907721,20.0,470111,2008,6,18
907721,20.0,470111,2008,6,21
907721,538.96,500110,2008,6,18
907721,1.07,520541,2008,6,18
907721,1.07,520541,2008,6,20
907721,39.7,620121,2008,6,18
907721,3.21,620926,2008,6,18
907721,2.14,620926,2008,6,21
907721,8.56,620926,2008,6,22
907721,0.44,680903,2008,6,22
907731,4.19,10210,2008,6,21
907731,2.0,10320,2008,6,21
907731,3.49,20310,2008,6,21
907731,11.92,40410,2008,6,21
907731,5.99,50110,2008,6,21
907731,6.92,50310,2008,6,21
907731,1.08,110210,2008,6,21
907731,2.99,110410,2008,6,21
907731,2.5,120410,2008,6,21
907731,1.25,120410,2008,6,21
907731,5.26,120410,2008,6,21
907731,4.16,120410,2008,6,21
907731,3.99,120410,2008,6,21
907731,3.69,130211,2008,6,21
907731,4.98,140230,2008,6,21
907731,4.19,170531,2008,6,21
907731,1.17,170532,2008,6,21
907731,6.49,180220,2008,6,21
907731,21.2,190211,2008,6,25
907731,32.0,190212,2008,6,27
907731,4.0,190321,2008,6,22
907731,8.0,200522,2008,6,27
907731,1.59,330310,2008,6,21
907731,30.0,470111,2008,6,21
907731,30.0,470111,2008,6,27
907731,0.5,590110,2008,6,21
907731,2.14,620926,2008,6,24
907731,2.14,620926,2008,6,27
907732,24.05,190211,2008,7,3
907732,4.0,190321,2008,6,30
907732,30.0,470111,2008,7,5
907732,1.5,520541,2008,7,5
907732,2.14,620926,2008,7,2
907741,2.31,10310,2008,5,28
907741,1.09,20710,2008,5,28
907741,2.67591,60110,2008,5,28
907741,2.50409,60210,2008,5,28
907741,2.1,130211,2008,5,25
907741,1.2,140210,2008,5,28
907741,1.63,160212,2008,5,28
907741,1.27,170532,2008,5,26
907741,0.54,180710,2008,5,28
907741,0.54,180710,2008,5,28
907741,21.69,180710,2008,5,28
907741,1.9,180710,2008,5,30
907741,1.9,180710,2008,5,30
907741,1.0,190111,2008,5,24
907741,3.99,190211,2008,5,24
907741,1.25,190211,2008,5,25
907741,1.25,190211,2008,5,25
907741,2.79,190311,2008,5,25
907741,0.79,190311,2008,5,28
907741,1.94,190321,2008,5,25
907741,1.39,190321,2008,5,26
907741,1.79,190321,2008,5,28
907741,130.48,260210,2008,5,29
907741,39.75,270000,2008,5,30
907741,38.58,270210,2008,5,29
907741,44.6,270310,2008,5,30
907741,107.07,320220,2008,5,30
907741,8.0,470111,2008,5,25
907741,24.26549,470111,2008,5,30
907741,15.0,470111,2008,5,30
907741,8.71468,470211,2008,5,30
907741,5.21167,470220,2008,5,30
907741,7.34347,480212,2008,5,30
907741,102.20276,480214,2008,5,30
907741,10.97977,490000,2008,5,30
907741,189.92973999999998,490110,2008,5,30
907741,107.42,500110,2008,5,30
907741,8.294,520531,2008,5,30
907741,4.24841,520541,2008,5,30
907741,4.52,540000,2008,5,27
907742,3.1,10210,2008,6,3
907742,3.06,90110,2008,6,3
907742,5.43,110410,2008,6,6
907742,2.1,130212,2008,6,3
907742,0.99,130310,2008,6,4
907742,0.99,130310,2008,6,4
907742,0.99,140220,2008,6,4
907742,0.99,140220,2008,6,4
907742,1.04,140220,2008,6,6
907742,10.22,190111,2008,6,6
907742,5.5,190211,2008,6,3
907742,1.0,190211,2008,6,3
907742,1.0,190311,2008,6,1
907742,1.0,190311,2008,6,6
907742,325.9,210110,2008,6,6
