,USERS,Purchases,Spent
0,889261,69,502.25
1,889262,60,3145.4500000000007
2,889271,19,1362.7699900000002
3,889272,32,161.80001000000001
4,889281,46,1556.7099999999998
5,889282,136,8342.87099
6,889291,50,344.03999999999996
7,889292,46,1206.1299999999999
8,889301,16,701.25001
9,889302,5,176.55
10,889311,9,23.32
11,889312,9,826.2
12,889321,28,1051.2700000000002
13,889322,51,548.09
14,889331,63,785.4699999999999
15,889341,68,737.7000099999999
16,889342,66,2389.2800200000006
17,889351,8,158.82999999999998
18,889352,16,179.25
19,889361,83,784.9099999999999
20,889362,67,988.46
21,889371,36,613.25
22,889381,65,595.5200000000001
23,889392,32,484.70000000000005
24,889401,20,322.37999
25,889402,25,525.62
26,889411,54,1333.4299999999996
27,889412,53,265.56
28,889421,29,217.75
29,889422,9,123.30000000000001
30,889431,20,149.32999999999998
31,889432,17,76.06
32,889441,21,154.4
33,889442,44,748.12001
34,889461,38,1377.76
35,889462,79,920.98001
36,889471,24,47.64
37,889472,35,75.67
38,889491,26,318.39000000000004
39,889492,2,87.91
40,889501,11,122.79
41,889511,41,159.28
42,889512,16,793.79
43,889522,83,1174.49
44,889531,67,660.2199999999999
45,889532,33,1202.01
46,889542,54,1918.7399799999998
47,889562,97,1628.4200000000003
48,889571,12,54.84001
49,889572,23,236.96
50,889581,30,364.84999999999997
51,889582,14,169.61
52,889591,18,154.73000000000002
53,889592,31,1282.7900000000002
54,889601,21,67.34
55,889602,27,146.61999999999998
56,889611,53,285.0
57,889612,47,738.7500299999999
58,889621,24,1868.68
59,889622,15,285.41
60,889631,6,862.5000000000001
61,889632,2,37.720000000000006
62,889652,65,2953.7099999999996
63,889662,38,486.70743000000004
64,889672,24,465.00999
65,889681,26,165.46
66,889682,25,159.12
67,889691,124,971.22
68,889692,90,1266.00001
69,889701,15,93.01000000000003
70,889702,7,278.62000000000006
71,889711,15,41.60002
72,889712,14,36.39999
73,889721,25,160.55999999999997
74,889731,71,5228.479980000001
75,889732,40,1529.5583000000001
76,889741,43,1319.34
77,889772,6,145.7
78,889792,6,444.0
79,889801,83,7871.2
80,889802,39,1055.9699999999998
81,889811,58,1025.08
82,889812,45,321.61
83,889821,64,13154.622
84,889822,47,1025.92001
85,889831,43,406.36
86,889832,35,1148.0399999999997
87,889841,7,22.990000000000002
88,889842,7,26.32
89,889852,69,651.6499900000001
90,889861,9,54.0
91,889871,34,123.49
92,889872,38,123.18
93,889881,131,4106.23
94,889892,7,105.0
95,889901,28,1288.73999
96,889911,15,109.75
97,889912,13,1180.6200000000003
98,889921,27,529.3500000000001
99,889922,44,270.7799999999999
100,889931,10,416.38
101,889951,30,2553.55
102,889952,17,1265.5
103,889961,122,5625.22101
104,889962,10,5729.570000000001
105,889971,35,282.26
106,889981,18,158.26
107,889982,21,1348.5100000000004
108,889991,33,57.120000000000005
109,889992,20,757.24
110,890001,22,125.22
111,890011,26,722.6542099999999
112,890031,24,1074.12
113,890032,10,98.24
114,890041,58,897.04
115,890042,54,568.0600000000001
116,890061,28,407.93
117,890062,33,1037.56
118,890072,91,924.9000000000001
119,890081,52,270.2699999999999
120,890082,3,57.53
121,890112,65,1195.71
122,890121,19,168.66
123,890122,66,450.71000000000004
124,890131,26,404.6
125,890132,19,357.30999999999995
126,890141,21,800.86
127,890142,19,258.05000000000007
128,890152,48,581.21
129,890162,18,100.3
130,890171,79,610.76001
131,890172,35,422.62
132,890181,66,712.3100000000001
133,890182,43,1041.74
134,890202,59,329.61999999999995
135,890212,164,2143.26
136,890221,68,1225.1700000000005
137,890222,45,171.14000000000001
138,890231,29,1024.89
139,890232,12,194.9
140,890241,11,101.16000000000001
141,890251,54,388.76000000000005
142,890252,11,137.04
143,890261,20,269.95000000000005
144,890262,31,260.52000000000004
145,890271,60,1953.5700000000002
146,890272,48,933.5899999999999
147,890281,48,338.79
148,890282,62,505.22
149,890291,36,514.49
150,890302,16,203.53999000000002
151,890312,23,163.14999999999995
152,890331,40,683.74
153,890332,36,2934.34
154,890341,8,852.42
155,890342,20,198.85999999999999
156,890352,29,630.9499999999999
157,890361,80,983.2500000000001
158,890362,59,926.4699999999999
159,890371,109,2005.19
160,890372,75,1005.6200000000001
161,890381,57,354.00001000000003
162,890391,34,2403.04
163,890401,96,1592.07001
164,890402,24,258.7
165,890411,13,103.59999999999998
166,890412,16,137.31
167,890421,24,102.4
168,890422,13,70.11
169,890431,23,177.73999999999998
170,890432,45,211.3
171,890451,25,307.26000000000005
172,890452,32,1226.3200000000002
173,890461,39,282.29999999999995
174,890471,42,919.89
175,890472,67,1681.3999999999999
176,890481,9,789.39
177,890482,37,3101.15001
178,890491,20,127.16000000000001
179,890492,2,178.85
180,890501,25,151.35000000000002
181,890502,17,841.63
182,890512,5,212.19000000000003
183,890521,99,535.9099900000001
184,890522,53,184.27
185,890531,19,259.14
186,890532,19,424.14
187,890542,22,1424.5200000000002
188,890551,52,1005.71
189,890552,65,543.39
190,890561,111,2375.8200000000006
191,890562,101,6062.249999999999
192,890571,13,209.32999
193,890581,39,632.6999999999999
194,890582,34,439.48
195,890591,27,81.99996999999999
196,890601,69,530.3900000000001
197,890612,13,709.348
198,890621,54,1230.45
199,890622,46,790.49
200,890631,38,189.89999999999998
201,890632,18,49.589999999999996
202,890641,24,125.28
203,890661,4,9.48
204,890672,20,154.04999999999998
205,890681,9,32.64
206,890682,46,230.59000000000003
207,890691,28,678.7399999999999
208,890692,7,388.46
209,890701,47,437.19
210,890702,72,561.02
211,890711,93,882.1999999999999
212,890712,43,213.32999999999998
213,890721,12,905.9399999999999
214,890722,20,759.73
215,890741,115,2455.1300199999996
216,890742,46,1197.3500000000004
217,890751,68,259.90999999999997
